,Entity,Total_Meat_Consumption,Total_CO2_emission,Total_land_use,Total_water_use,Year
685,Mexico,1020551050.0,134612383.21788266,95192476459.95815,10933472812637.07,1962
686,Mexico,1039037720.0,135738103.5954304,96054602024.30368,11067240041387.23,1963
687,Mexico,1082106300.0,138360705.6182957,98063104574.4147,11378878892126.953,1964
688,Mexico,1109277359.9999995,140015249.99657318,99330226529.65956,11575485279237.465,1965
689,Mexico,1119336800.0000005,140627805.7783727,99799348355.6564,11648274127179.176,1966
690,Mexico,1156995840.0,142921001.29313463,101555577093.04996,11920770223998.738,1967
691,Mexico,1160915040.0,143159655.59397328,101738348923.33542,11949129064337.082,1968
692,Mexico,1185194850.0000005,144638141.2747361,102870637480.35803,12124814728563.281,1969
693,Mexico,1202899840.0,145716262.3223492,103696309410.21245,12252925818735.238,1970
694,Mexico,1231893960.0,147481819.43528864,105048449739.8501,12462723639675.922,1971
695,Mexico,1316935200.0,152660288.93790457,109014346628.12935,13078071401294.281,1972
696,Mexico,1396271959.9999995,157491391.9662278,112714215181.43546,13652142260092.352,1973
697,Mexico,1526271110.0,165407511.64699683,118776723494.62502,14592799827700.602,1974
698,Mexico,1719690800.0,177185538.00068635,127796847692.04898,15992360479619.797,1975
699,Mexico,1922998800.0,189565699.40987846,137278113070.61444,17463471704233.932,1976
700,Mexico,2088541400.0,199646188.65819794,144998189614.8612,18661317224389.6,1977
701,Mexico,2166387050.0,204386492.59116408,148628520276.79736,19224598597982.297,1978
702,Mexico,2220443920.0,207678211.4407702,151149461558.0289,19615747338929.566,1979
703,Mexico,2444139270.0,221299832.5254581,161581490682.81046,21234378874722.496,1980
704,Mexico,2657632320.0000005,234300198.56486988,171537735707.7448,22779187845506.273,1981
705,Mexico,2769169230.0,241092085.49938565,176739257749.2541,23586254956784.61,1982
706,Mexico,2981796090.0,254039706.0884904,186655108017.17807,25124796285214.67,1983
707,Mexico,2964454110.0,252983690.03622,185846365052.95743,24999311889937.39,1984
708,Mexico,2912428389.9999995,249815655.27600676,183420146419.99194,24622860295997.984,1985
709,Mexico,3010065210.0,255761115.3222432,187973437983.23212,25329348096958.258,1986
710,Mexico,2991383999.9999995,254623548.69860315,187102240049.04993,25194173201133.33,1987
711,Mexico,3043321630.0,257786219.33926117,189524350606.25253,25569987386865.6,1988
712,Mexico,2796427550.0,242751943.45550847,178010449073.2249,23783492746326.215,1989
713,Mexico,2913661530.0,249890745.6425449,183477653884.47406,24631783142592.91,1990
714,Mexico,3297381280.0,273256832.7659973,201372418383.39587,27408331194470.51,1991
715,Mexico,3468197250.0,283658436.6373045,209338418454.55432,28644334159481.0,1992
716,Mexico,3632738750.0,293677965.27617055,217011808716.0651,29834935845419.81,1993
717,Mexico,3948832800.0,312926078.2844401,231752849760.37003,32122152801903.29,1994
718,Mexico,3965341380.0,313931345.58841515,232522727128.71402,32241606819160.062,1995
719,Mexico,3874915200.0,308424967.5609068,228305703648.32993,31587294306140.516,1996
720,Mexico,4241411130.000001,330742233.8229919,245397235572.7705,34239212953701.848,1997
721,Mexico,4667361040.0,356679868.53500944,265261402918.30573,37321333154207.39,1998
722,Mexico,4911294299.999999,371533849.35165423,276637226657.2565,39086403672055.766,1999
723,Mexico,5245656000.0,391894345.81540334,292230179271.6559,41505803056000.66,2000
724,Mexico,5495327420.000001,407097744.0036803,303873602011.84955,43312394180931.07,2001
725,Mexico,5745202500.0,422313543.78792286,315526522432.9361,45120458964114.0,2002
726,Mexico,5771505190.0,423915209.9677876,316753147966.90497,45310781934663.836,2003
727,Mexico,5959445300.0,435359564.82377625,325517732037.31433,46670693031995.06,2004
728,Mexico,6221433450.000001,451312973.3679341,337735545287.10986,48566406472592.055,2005
729,Mexico,6412727200.000001,462961543.5253782,346656526306.1104,49950584088935.39,2006
730,Mexico,6542618029.999999,470871067.2085285,352713983117.80554,50890457866590.2,2007
731,Mexico,6750849800.0,483551054.8288966,362424868432.78784,52397196874244.95,2008
732,Mexico,6906414240.0,493023937.7293756,369679613642.55786,53522841678358.97,2009
733,Mexico,7000746480.0,498768169.91547084,374078796169.5343,54205417952322.58,2010
734,Mexico,7052767199.999998,501935900.2075516,376504781627.5785,54581833366888.2,2011
735,Mexico,7184205240.000002,509939639.118504,382634392553.2604,55532902562322.164,2012
736,Mexico,7393415940.000002,522679237.33662665,392390930253.3777,57046724984850.45,2013
737,Mexico,7360911800.0,520699942.3769251,390875100196.3113,56811529098803.5,2014
738,Mexico,7613687840.0,536092392.1357954,402663306841.31726,58640584865214.63,2015
739,Mexico,7837812150.0,549740134.1504915,413115340508.9441,60262320301842.305,2016
740,Mexico,8094283990.000002,565357634.5740484,425075900728.7534,62118118414171.6,2017
1534,Mexico,8451901750.574679,587134276.9034617,441753399361.8462,64705795739720.914,2018
1535,Mexico,8766955793.294474,606319060.0968902,456445939683.0154,66985487333780.92,2019
1536,Mexico,9124161695.362295,628070622.8682308,473104231301.1263,69570184502758.0,2020
1537,Mexico,9478881959.960392,649670826.1599644,489646605254.9772,72136895910318.73,2021
1538,Mexico,9856667368.859673,672675549.7331183,507264621850.11346,74870503813240.28,2022
1539,Mexico,10244402365.078724,696286139.7599955,525346637293.2338,77676105683867.94,2023
1540,Mexico,10650188948.5864,720995956.4003129,544270488225.3058,80612326579238.34,2024
1546,Mexico,11070511868.3546,746590943.2710375,563872240969.9878,83653730583181.06,2025
1544,Mexico,11508266745.276306,773247425.229208,584286932762.0272,86821270045814.62,2026
1545,Mexico,11962868590.293634,800929780.1696486,605487282645.9216,90110712059583.33,2027
1542,Mexico,12435682257.65599,829721119.0172005,627536940578.0999,93531932538894.22,2028
1547,Mexico,12927043714.393528,859641900.0227019,650451574375.7227,97087362499099.17,2029
1541,Mexico,13437896477.08159,890749577.3320549,674275184919.4241,100783829107966.27,2030
1543,Mexico,13968895194.976154,923084014.9125179,699038301766.948,104626069325519.97,2031
